"","CD107a","IFN.g","MIP1.b","ADCD","ADCC","ADCP","ADNP"
"35-12",9.16,4.37,12.8,78.98,7.59,23.18,19.31
"36-12",9.24,4.96,13.95,74,6.98,23.32,29.89
"71-12",4.65,2.2,4.19,82.66,9.02,15.72,6.64
"86-12",5.38,2.12,5.24,27.93,5.66,11.8,5.25
"357-08",7.21,3.85,10.75,81.72,1.41,20.16,21.94
"201-08",6.94,2.78,9,55.35,9.02,20.43,25.72
"92-09",5.85,2.47,6.64,79.84,6.82,17.48,12.14
"53-12",7.25,3.03,9.49,21.37,7.84,18.26,24.91
"47-12",7.69,4.08,12.15,59.25,6.4,19.41,25.65
"52-12",5.54,2.66,5.32,93.25,7.78,23.2,26.07
"63-12",5.76,2.56,5.74,79.95,9.03,21.95,19.11
"43-12",4.94,2.31,4.19,92.94,6.7,17.96,16.06
"54-12",5.68,2.25,5.4,68.9,8.39,13.22,5.59
"77-12",5.6,2.08,3.97,77.29,11.09,18.79,7.49
"49-12",4.39,1.71,2.97,93.13,8.84,25.25,22.95
"41-12",7.37,3.73,9.24,75.41,10.58,16.39,7.79
"74-12",5.72,1.72,3.13,71.81,9.68,17.81,5.72
"48-12",4.72,1.46,2.67,91.92,9.44,16.41,37.65
