"","goat.anti.Rhesus.IgG..H.L..PE.63521.gp120.gDneg.293T.monomer","goat.anti.Rhesus.IgG..H.L..PE.A244.gp120.delta11.293F.monomer","goat.anti.Rhesus.IgG..H.L..PE.AA07.D11.gp120.293F","goat.anti.Rhesus.IgG..H.L..PE.C.con_env03.gp140.CF_avi.","goat.anti.Rhesus.IgG..H.L..PE.gp120.ZM109F","goat.anti.Rhesus.IgG..H.L..PE.gp140.Du151","goat.anti.Rhesus.IgG..H.L..PE.SF162.gp120","goat.anti.Rhesus.IgG..H.L..PE.SF162.LS.gp140C.avi"
"35-12",446,468.5,435,412.25,340.75,443,1160.75,479.75
"36-12",670,966,711.5,740,756,751.75,1587.5,667.25
"71-12",344.5,317,272.5,270.5,261.5,294.75,1116.5,352.5
"86-12",201.25,213.25,210.5,216.25,201,205.5,830.25,257.75
"357-08",205.5,251.25,219.25,254.5,204.5,287.5,704,229.5
"201-08",526,563.5,460.75,603.25,677,494,1552.25,806.5
"92-09",380.5,436.25,396.75,416.5,410.5,392.25,1197.5,342.25
"53-12",491.5,723.5,468,455,700.25,549.25,1180,665.25
"47-12",1075,1330,1162.5,1102,1105.75,1196.5,2397.25,1480
"52-12",619,817.75,698,740.25,782.25,835,1372,606.5
"63-12",495,479.5,446,417.5,477.25,423.5,1157.25,469.75
"43-12",535,958.75,543.25,531.25,552.75,607.5,1442.5,593
"54-12",715.75,963.25,701.25,678.25,1011.5,822.5,1854.5,730.25
"77-12",1141.25,1156,926,948.25,982,1305.25,1619,859.25
"49-12",934.5,1087,922.75,832.5,845,818.5,1957.75,899.25
"41-12",476,528.5,382.5,478,479.5,434,1108,525.5
"74-12",671.25,891.5,664,627.75,654.5,763.5,1305,687
"48-12",633,790.25,665,594.5,611.25,687,1368,673.75
