"","goat.anti.Rhesus.IgG..H.L..PE.A244.gp120.delta11.293F.monomer","goat.anti.Rhesus.IgG..H.L..PE.AA07.D11.gp120.293F","goat.anti.Rhesus.IgG..H.L..PE.AE01.con_env03.gp140CF_avi.","goat.anti.Rhesus.IgG..H.L..PE.gp120.CM235","goat.anti.Rhesus.IgG..H.L..PE.gp120.Du151","goat.anti.Rhesus.IgG..H.L..PE.gp120.Du156.12","goat.anti.Rhesus.IgG..H.L..PE.gp120.JRCSF","goat.anti.Rhesus.IgG..H.L..PE.gp120.MN","goat.anti.Rhesus.IgG..H.L..PE.gp120.TRO","goat.anti.Rhesus.IgG..H.L..PE.gp120.YU2","goat.anti.Rhesus.IgG..H.L..PE.gp120.ZM109F","goat.anti.Rhesus.IgG..H.L..PE.gp140.Du151","goat.anti.Rhesus.IgG..H.L..PE.SF162.LS.gp140C.avi"
"35-12",1313.5,713.75,901.75,1474.25,968.25,956.5,772.5,832.5,677,1061,601.5,662.25,555.75
"36-12",929,600.25,791.5,1134.25,962,970.5,722.25,1101.75,861.25,956.25,686.25,609,547.5
"71-12",398,298.5,403.75,511.25,501,555,343.25,498.5,355.5,395,327.5,304,311.5
"86-12",395,241,288,430.25,470,423.75,289.25,430.5,310.25,311.5,220.5,280.75,200.75
"357-08",1011.5,582,784.25,1239.75,1009.5,1035.5,887.75,1106,1616.5,734.5,624.75,1192.5,599
"201-08",632.5,547,637.75,875.5,802.25,995.5,1514.75,1044,537,771.75,670.75,523.25,625
"92-09",652,482.75,522.75,910.25,783.5,885.5,687.25,1043.75,617,763,617.75,529.75,536.75
"53-12",567.75,380.5,451.25,774.5,651,850.75,759.75,714,726,691.5,555.5,420.75,477.75
"47-12",1976.75,1703.5,1404,2007,2000,2340.75,1576,2117.75,1470,2401.75,1447.75,1721,1660.5
"52-12",714.75,565,680.5,944.25,834.5,967.5,577.5,911.5,632,578.5,562.5,531,553.75
"63-12",394.25,368.5,375,511.5,606.5,535.25,407.25,672.75,578,428.25,377,350.5,364
"43-12",1038,657,773.25,1072,1025.25,786,684,973.25,674.5,593.75,536.5,701,420.25
"54-12",1009.25,760.5,821,1184.25,1191,1153,785.5,1328.5,747.5,852,882.25,733,602.5
"77-12",780,519.75,727.5,1072.5,857.5,1013,575.5,923.5,631.5,632.5,539,574,499.5
"49-12",700.25,618.5,891.75,1118,1063.75,1032.75,681,1177,778.5,618,678,597.25,754
"41-12",543.5,479,536.25,829,730.5,704.25,516.75,1020.5,591.25,484.75,513.25,470.5,540
"74-12",539,411.5,503.5,791.5,675.5,1012.5,557.25,745.25,611.5,558,387.5,416.25,405.5
"48-12",738.75,603,393.5,770.5,589.5,601,504.75,588.75,453.25,612.5,388.5,470.5,412.25
