"","goat.anti.Rhesus.IgG..H.L..PE.63521.gp120.gDneg.293T.monomer","goat.anti.Rhesus.IgG..H.L..PE.A244.gp120.delta11.293F.monomer","goat.anti.Rhesus.IgG..H.L..PE.AA058.D11.gp120.293F","goat.anti.Rhesus.IgG..H.L..PE.AA07.D11.gp120.293F","goat.anti.Rhesus.IgG..H.L..PE.AA104.D11.gp120.239F.monomer","goat.anti.Rhesus.IgG..H.L..PE.AE.A244.V1V2.tags.293F","goat.anti.Rhesus.IgG..H.L..PE.SHIV.1157ipd3N4D11.gp120.Y173H.293F","goat.anti.Rhesus.IgG..H.L..PE.A1.con_env03.gp140CF_avi.","goat.anti.Rhesus.IgG..H.L..PE.AE01.con_env03.gp140CF_avi.","goat.anti.Rhesus.IgG..H.L..PE.B.con_env03.gp140.CF_avi","goat.anti.Rhesus.IgG..H.L..PE.C.con_env03.gp140.CF_avi.","goat.anti.Rhesus.IgG..H.L..PE.ConB.gp70.V1V2","goat.anti.Rhesus.IgG..H.L..PE.gp120.BAL","goat.anti.Rhesus.IgG..H.L..PE.gp120.CM235","goat.anti.Rhesus.IgG..H.L..PE.gp120.Du151","goat.anti.Rhesus.IgG..H.L..PE.gp120.Du156.12","goat.anti.Rhesus.IgG..H.L..PE.gp120.JRCSF","goat.anti.Rhesus.IgG..H.L..PE.gp120.MN","goat.anti.Rhesus.IgG..H.L..PE.gp120.PVO","goat.anti.Rhesus.IgG..H.L..PE.gp120.TRO","goat.anti.Rhesus.IgG..H.L..PE.gp120.YU2","goat.anti.Rhesus.IgG..H.L..PE.gp120.ZM109F","goat.anti.Rhesus.IgG..H.L..PE.gp140.Du151","goat.anti.Rhesus.IgG..H.L..PE.SF162.gp120","goat.anti.Rhesus.IgG..H.L..PE.SF162.LS.gp140C.avi","FcgRIIIB.NA1.A244.gp120.delta11.293F.monomer","FcgRIIIB.NA1.AA058.D11.gp120.293F","FcgRIIIB.NA1.gp120.CM235","R2A.4.A244.gp120.delta11.293F.monomer","R2A.4.gp120.CM235","R2A.3.AA058.D11.gp120.293F","R2A.3.gp120.CM235","R2A.3.gp140.Du151","R3A.1.A244.gp120.delta11.293F.monomer","R3A.1.AA058.D11.gp120.293F","R3A.1.AA07.D11.gp120.293F","R3A.1.AA104.D11.gp120.239F.monomer","R3A.1.AE.A244.V1V2.tags.293F","R3A.1.SHIV.1157ipd3N4D11.gp120.Y173H.293F","R3A.1.AE01.con_env03.gp140CF_avi.","R3A.1.gp120.CM235","R3A.1.gp120.Du151","R3A.1.gp120.Du156.12","R3A.1.gp120.YU2","R3A.1.gp120.ZM109F","R3A.1.gp140.Du151","FcgR3AF.A244.gp120.delta11.293F.monomer","FcgR3AF.gp120.CM235","FcgR2AH.A244.gp120.delta11.293F.monomer","FcgR2AH.AA07.D11.gp120.293F","FcgR2AR.A244.gp120.delta11.293F.monomer","FcgR2AR.AA058.D11.gp120.293F","FcgR2AR.AA07.D11.gp120.293F","FcgR2AR.AA104.D11.gp120.239F.monomer","FcgR2AR.SHIV.1157ipd3N4D11.gp120.Y173H.293F","FcgR2AR.AE01.con_env03.gp140CF_avi.","FcgR2AR.gp120.CM235","FcgR2AR.gp120.Du151","FcgR3AV.A244.gp120.delta11.293F.monomer","FcgR3AV.AA058.D11.gp120.293F","FcgR3AV.AA07.D11.gp120.293F","FcgR3AV.AA104.D11.gp120.239F.monomer","FcgR3AV.AE.A244.V1V2.tags.293F","FcgR3AV.SHIV.1157ipd3N4D11.gp120.Y173H.293F","FcgR3AV.AE01.con_env03.gp140CF_avi.","FcgR3AV.C.con_env03.gp140.CF_avi.","FcgR3AV.CON.S.gp140.CFI_avi.","FcgR3AV.gp120.BAL","FcgR3AV.gp120.CM235","FcgR3AV.gp120.Du151","FcgR3AV.gp120.Du156.12","FcgR3AV.gp120.JRCSF","FcgR3AV.gp120.MN","FcgR3AV.gp120.TRO","FcgR3AV.gp120.YU2","FcgR3AV.gp120.ZM109F","FcgR3AV.gp140.Du151","R3A.3.A244.gp120.delta11.293F.monomer","X10F12.aRhIgA.A244.gp120.delta11.293F.monomer"
"35-12",3834.5,24125.75,11198.5,7575.25,5583.5,10057,4752.5,927.75,8223,2067.5,2721.5,996.75,3813,14969,4510.5,4361,6164,4704.75,3587.5,4528,8584,3794,10012.25,2405.75,1137.25,21354.75,999.5,3905.25,9322.5,2147.75,742,3191.25,565.5,16904,4595.5,1543,1114,5000,648,2249.5,8469.5,802.5,531.75,3153.25,553.75,3547.5,2092.75,356.75,5969,224.5,32664.25,4735.25,1458.25,654.75,463.25,1583.5,16302.25,2993,57985,33953,22389.25,12729.5,20624,8604.5,18859.75,3760.25,3877.75,4034,48093.75,21872,3854,11285.5,7665,6172,24525,3259.75,8636,4623.25,687
"36-12",5114,44773,20744.25,27588.25,14322,30392,17750.5,1341,30266.5,4882,4991.5,1118.5,11049,46180.5,17118,9889.5,11337,6586.5,4727.5,9759,9654,11776,21653.5,3235.25,3108,68647,9550.5,66901.75,51445.25,39285,4774.25,31313.5,7345,37385.25,11678.5,20240.5,6455.5,20361.5,9859,23977.25,37156,10266.5,2943.5,2712,7068.75,13733.75,13500,12516.5,23727.5,10942,91600,37950.5,66817,21952.5,31850.75,63902,99086,41398.5,78604.5,36341.25,52950.75,29073,43700.75,37956.25,59291.25,7690,5468.25,17517.5,82275.5,39199,14619,16576.25,4919,15639.75,12520.75,26822.25,36484,25099.5,1367.25
"71-12",709.5,9085.75,1077.5,4803.75,775.5,2999,1320.75,441.5,5994.25,466,968.5,638.25,602.75,11513,2135,1905.25,836.5,1174.5,645.75,835,1254.25,877.5,2265,1251,792.75,77.5,95.5,173.75,75.25,442.5,94.25,1119.75,87,1672.75,103.5,439.5,95,443,92.75,560.75,3243,189,86,104,79,120.75,62,116.5,180.25,115.5,1989,92.75,316,94.25,83,405.5,6536.25,116.5,17395.5,143,8161.5,110.5,1808.5,373.25,5782.5,153.5,149,83.25,28969.75,318.75,161.5,143.5,128.75,118.5,141.25,144.5,601.75,111.75,390.75
"86-12",9581,60761.5,28131.5,26649.75,17108,57150.75,11768.25,845.75,25596.75,1800.5,1910,629.25,3723,37923,8621.5,8540.25,12556.75,10906.75,7592.5,7084.25,20120.5,11631,23467.75,2725,752.5,75525.75,24833.75,41190.25,84447.25,53058.75,9889.5,18755.25,6525.5,57980.5,21185,19891.75,12240,56830.25,6065.25,20686.75,34072,2382,3354.5,14929.75,7050.75,20360.75,28815.25,10504,38391.5,11429.75,104830.75,46999.75,48208.25,21756.75,12124,59927,83163,33162.5,96680.5,65969.25,71296,46490,75637.25,35865.5,60264.75,976.5,834.5,2170.5,75946.5,50895,16265.25,34651.5,23534.25,17054.75,41438.5,23242.25,18711.25,42290.75,1779.75
"357-08",1984.75,17157,5326,3066.5,7713.25,5687.25,6209.75,1232.5,3348,1332.25,9059.5,689,3851.25,10222.25,8678.5,6823.75,5529.75,2710,1659,5617,6215,4451.5,17692,1982,1005,2794.75,118.5,229.5,1152.25,107.75,114.25,241.5,1731.75,8175.75,782.25,192.5,2508.25,578.5,1640.25,214.25,2164.25,4574.25,405.75,904.75,1149.25,10574.75,446.25,117.75,1559,97.25,11420.75,719.75,114.5,1316.25,1172.5,158,2504.75,13344.5,31953.5,4625.25,860.5,10712.25,2077.5,9112.75,959.5,23568.75,20275.5,2505.25,14603,24181.25,2682.25,4628.75,310.5,4340.75,3965.5,4860.75,21283.5,1564.5,782.5
"201-08",1542.5,15326,5475,4361.5,2498.75,14145.5,3846.75,982.25,6629,1098.5,3156.25,1085,2862.5,12929,5049.75,2732.75,3008.75,1723.5,2236.75,2278,6237.25,3715.5,5770,2170.75,1658.75,3675.75,118.75,1094,2172.5,834.5,209.75,1162,234,8331.25,1387.75,714.75,302,10100.5,892,976,5357.5,1060.5,271.75,2254.75,626.25,1657.5,459,203.5,2053.25,118.5,10181.5,704.5,277.5,142.5,360.5,384.5,4470.25,675.25,37996.5,10953,6546.5,1727.5,32950.25,6446.5,8150,6439.5,2404.5,1081.25,40820.25,9539.75,1250.75,2943.5,314.5,271,10891,4057.75,7377.5,2491.5,611.5
"92-09",794.25,7644.5,3532,3630.75,2291.75,1520,893,1831.75,4041,460.5,4345.5,496.75,715.25,10823.25,5216.25,7082,953.25,1170.75,602,1082.5,2078,3051,6247.75,1451,545.75,104.5,95,198,85.75,179.75,97.5,234.5,102,2266.25,461.75,434.5,161.25,180,75,341.25,3955.75,1444.5,1811.5,178,435.5,1266.75,72,156.25,143.75,100.5,2721.25,305,229,123.5,71,178.5,4545.5,1025,7725.5,2094,1921,473.5,214.5,125.5,934.25,3258.75,8172,88.5,12873,5419.5,8559.75,145,141.75,118.5,281,1230,6203.5,79.75,110.75
"53-12",13621,56641.5,28268.75,14745.25,16059.75,28452,11290,752.5,17990,2539.5,3643,1657.75,4621,34129,8591,17178.5,19138,12678.25,8277.5,13223.5,18426.5,13465.5,23485.25,4040,1419,56160.5,16529.75,28263.5,77957.75,30243.5,6153,11483.5,3761.5,49751.5,23645.25,9059.5,11127.75,19675.75,4463,11986.25,30558.25,3195.5,9480,12408.75,7324.75,20060,16086.75,6829,29777.5,1624,92814,44170.5,13280.75,20252,6747,20967.5,60396.25,29886.5,78747.25,39485.5,27251.5,30619.25,33855.5,14663,23952.5,2436.5,4530.5,1854.5,55247.5,32761.5,21701.5,26924.75,11804.75,17926.25,24468,17916.25,12529.5,23043.5,1863.5
"47-12",3373,51582.5,22066,9330,10329,5350.25,6877.75,1565,14580.5,1598.75,3015,1569,3889.75,26358,4832.25,10036,4999.5,5105.5,3185.25,5903.25,8739,6332.25,8537,2813,1262.5,58015,15753.5,19928.5,65717,19698,5470.5,10322.75,177.25,40509.5,10083.5,1994,2557.5,405,1066.25,4973.5,18909.75,338.5,542.75,1098.25,917.75,1111,18396.25,2581.5,36913.75,330,67704.75,26403.75,2522.5,3621.75,843,6441.25,32308.75,698,83123.25,53311.5,35739.5,31908,3877.75,17842.25,42567,4981.75,7383.25,2574,76405,13805.75,11187,2742.75,1648,2438.5,15794.75,8847,7824,53712,946.25
"52-12",2000.5,25562.25,19954.5,25488,17260.5,3448.75,12948,797.75,10567.25,1387.5,1605.25,1417.75,5045.75,21928.25,8027,6713.5,3463.75,3799.25,1451.75,3589.25,12918,7040,8498.75,3109.5,7009.25,4383,3758.5,4024.5,2414,2670.5,9216,11134.5,878.5,13693.25,9733.5,14492.75,8214.25,469.5,4742.25,3054.75,11280.25,2291.5,663,5043,1527,1791,4485,2762.25,7318,6863,23998.5,19655.5,21959.5,13350.75,8182.25,5275,19248,2059,36799.25,31730.25,44583,29147,1180.75,18634.25,12512.25,646.25,2337.25,2588.5,35751.5,6394.75,2216.25,818,1206,1398.5,11775,6331.5,9707.5,5064,1552
