"","A244_gp120_D11_293F_Mon","AA058_D11_gp120_293F_Monomer","AA104D11gp120_293F","AA107_D11_gp120__293F_Monomer","B_63521_gp120_D11_293F","HIV_6644_v2_c33","Biotin___63521_171","Biotin___AA058__171","Biotin___AA104_171","Biotin___AA107_171","A32_x_A244_Delta_11_gp120","CH01_x_A244_Delta_11_gp120","CH103_x_63521_Delta_11_gp120","CH103_x_CH505_T_F_gp120_293F","CH58_x_A244_Delta_11_gp120","CH59_x_A244_Delta_11_gp120","X_2g12_x_jrfl","cd4_x_63521_Delta_11_gp120","cd4_x_A244_Delta_11_gp120","cd4_x_CH505_T_F_gp120","cd4_x_jrfl","pg9_x_A244_Delta_11_gp120","pg9_x_B_6240_gp120D11","MW965_26","SF162_LS","Bal_26","TH023_6","NP03_13","SS1196_1","Mean_neut","TITER_CM235","Specific_Killing_CM235","Cells_Positive_CM235","MFI_CM235","TITER_p3282","TITER_AA104","TITER_AA107","TITER_A244","GzB_p3282","GzB_AA104","GzB_AA107","GzB_A244","NK_Killed_p3282","NK_Killed_AA104","NK_Killed_AA107","NK_Killed_A244"
"35-12",10.321,9.86,9.795,9.885,10.745,5.081907406,0.187,4.597,0,0.224,4.434381865,3.837299459,4.235554731,4.300002799,3.269568939,3.186352633,2.197224577,3.363841595,3.777348102,3.546739687,0.336472237,0,3.077312261,8.815853185,7.762850971,4.106012724,6.688257075,5.100494097,4.162561777,5.959705319,529.7,21,34.74,3020,4325,2914,61901,36585,12.03,10.4,18.6,23.78,31.4,14.1,17.4,33.1
"36-12",11.346,11.171,11.383,11.709,11.61,5.756519823,4.569,5.388,3.256,1.837,4.458987676,4.163559631,4.446174454,4.494238625,3.723280881,3.591817741,2.747270914,4.104294893,4.182050143,4.136765278,3.210843653,0.336472237,3.261935314,9.6693465,8.169534677,4.194008342,7.454399875,7.453865997,4.038512668,6.676598269,100,6.5,23.18,2924.5,102400,83771,102400,22206,19.7,15.81,21.07,22.8,23.2,21.7,18.2,24.3
"71-12",9.655,9.314,9.171,9.882,9.934,4.269952242,1.672,6.465,1.423,1.787,4.360547603,3.572345638,4.149463861,4.100989105,3.36729583,3.063390922,0,3.437207819,3.94931879,3.280911216,2.944438979,0,2.58021683,7.768041848,6.480418572,3.714412518,8.827330693,3.773418607,3.446740088,5.468616367,1040,19.5,23.75,2740,65768,64835,53383,12640,34.64,23.1,24.17,27.84,22.8,17.2,14.4,25.6
"86-12",10.012,9.812,9.982,10.429,10.409,4.245025157,2.602,2.651,2.467,2.106,4.414009681,3.660994251,4.120661871,4.231203745,2.128231706,2.174751721,0,3.328626689,3.799973502,3.100092289,2.587764035,1.029619417,3.015534901,8.336508135,6.953143568,3.95953563,7.172308684,4.887819616,4.12666279,5.668714797,100,4,19.83,2671,102400,102400,102400,31817,27.94,21.2,19.27,22.14,25.9,17.7,19.9,26.9
"357-08",9.691,9.593,9.626,9.874,10.204,4.351556602,2.272,5.323,1.828,1.532,4.338597077,3.532225644,3.75419892,3.964615456,3.676300672,3.484312288,2.219203484,2.93385687,3.632309103,3.265759411,0,0,2.867898902,7.939143952,5.370150049,2.302585093,8.566784178,3.66630621,2.302585093,4.928444454,100,13,24.23,2455.5,20023,20576,19350,13739,25.06,18.42,17.94,11.92,22,22.1,18.9,27.6
"201-08",10.543,10.135,10.021,10.494,10.68,5.664658586,3.135,5.626,2.307,1.955,4.423648309,3.891820298,4.207673248,4.332048265,4.322807275,4.254193263,2.928523524,3.718438256,3.696351469,3.777348102,1.85629799,0.262364264,2.980618636,9.687012592,7.027153099,3.531784202,8.655140096,4.271126358,3.833484757,6.09576567,2171,17.5,14.28,1898.5,19988,65004,102400,61546,13.22,20.63,23.96,24.43,32.5,19.9,15.3,23.8
"92-09",10.581,10.33,10.429,10.86,10.697,5.036733293,2.127,5.297,2.121,2.06,4.414009681,3.839452313,4.305415532,4.357990057,3.797733859,3.676300672,0,3.668676747,4.010962953,3.799973502,2.091864062,0.832909123,2.93385687,9.395113588,6.497943915,3.885161155,9.249837489,6.62199802,4.112450653,6.399891159,1482,36.5,32.7,2855,73910,37526,102400,56008,15,14.41,16.87,20.3,36,18.2,14.9,28.3
"53-12",11.245,11.015,10.928,11.43,11.622,5.157593427,4.47,5.965,4.675,4.442,4.436751534,4.191168747,4.492001488,4.487512143,4.406719247,4.371976299,2.509599262,4.356708827,4.329416684,4.232656178,3.363841595,0,3.56671182,9.509662362,7.011238874,4.093785072,6.927449273,5.414906935,3.831533385,5.992309904,100,5,17.61,2956.5,10748,3568,25189,39419,10.27,8.82,12.11,18.12,34,21.5,21.3,33.5
"47-12",11.105,10.984,10.983,10.914,10.855,5.611212038,2.603,4.975,3.011,3.64,4.477336814,4.169761202,4.365643155,4.475061501,4.252771799,4.185098925,0,3.768152635,4.178992036,4.14472077,0.470003629,0.09531018,2.708050201,9.591619476,6.126691592,2.302585093,7.16580216,6.230779317,3.472265911,5.785850798,4884,20,26,2699.5,5572,51900,100889,81135,18.52,13.33,25.26,25.33,32.2,19.8,16.4,21.4
"52-12",10.825,10.706,10.873,11.18,10.752,4.402660901,5.099,5.588,6.57,6.426,4.478472533,3.895893623,4.261270434,4.446174454,3.990834186,3.735285827,0,3.815512105,4.447346101,4.223909767,3.597312261,0,2.714694744,8.203289737,7.217550543,3.914738715,7.814545181,6.723605252,3.651624138,5.989716352,4313,36.5,28.1,2961.5,86636,84196,69144,21404,25.16,15.72,15.94,17.02,31.3,25.2,19.2,45.3
